# query_id num_block_accesses num_unique_blocks latency_us
257 1650 519 276738
258 1839 560 306781
259 1690 557 294384
260 1704 522 272900
261 1736 570 298066
262 1798 570 282847
263 1610 527 268049
264 1714 496 262523
265 1527 424 227626
266 1487 478 234164
267 1771 532 273523
268 2052 535 315355
269 1843 515 270777
270 1635 467 255372
271 2051 559 311985
272 1519 448 243407
273 1828 557 292285
274 1999 491 306086
275 1559 522 248998
276 1890 563 304794
277 1534 542 260740
278 1677 510 262709
279 1852 576 311270
280 1634 526 262820
281 1507 474 247287
282 2158 539 304939
283 1813 537 295054
284 1826 511 278731
285 1668 556 272375
286 1659 491 249437
287 1701 564 287528
288 1520 491 251047
289 1956 547 311852
290 2207 592 340031
291 1586 546 262287
292 1560 505 259891
293 2236 579 343518
294 2409 634 391785
295 1930 589 306925
296 1549 519 246154
297 1796 586 299527
298 1912 560 311383
299 1674 554 273879
300 2205 551 317837
301 1969 554 303088
302 1626 422 213708
303 1634 516 253016
304 1628 480 240657
305 1613 472 251695
306 1590 479 238045
307 1667 573 272903
308 1905 572 309390
309 2268 609 348868
310 1691 521 266712
311 1774 573 299251
312 1806 507 287180
313 1608 586 283713
314 1710 583 298807
315 2189 637 349312
316 1551 527 263908
317 1590 495 254111
318 1644 486 262507
319 2166 628 363175
320 1742 517 267209
321 1618 516 276381
322 2203 612 368918
323 1720 450 240020
324 1803 541 288649
325 1907 535 303620
326 1866 562 320838
327 2011 558 333612
328 1727 512 259988
329 1616 581 290355
330 1610 546 278124
331 1585 500 262925
332 2105 595 337511
333 1552 563 270685
334 2073 560 329470
335 2039 534 326849
336 1640 494 263462
337 1718 497 258604
338 1580 456 247488
339 1590 543 260147
340 1970 576 323539
341 1587 547 257481
342 1911 465 277725
343 1741 549 304789
344 1601 553 281161
345 1993 590 337482
346 1703 493 252883
347 2017 607 342184
348 1705 534 274852
349 1721 494 275585
350 2142 608 362641
351 1565 575 286218
352 2119 607 346511
353 1632 542 278680
354 1728 496 260040
355 1863 575 310527
356 1742 502 285583
357 1877 476 285235
358 1772 517 283320
359 1757 560 280634
360 1547 491 247592
361 1522 421 208103
362 1578 559 272942
363 1683 536 272218
364 1622 506 270528
365 1632 525 262937
366 1680 521 274335
367 1588 507 256470
368 2027 602 334592
369 2167 560 340153
370 2500 662 402382
371 2186 533 319717
372 1799 548 293073
373 2048 639 354716
