# query_id num_block_accesses num_unique_blocks latency_us
154 2382 644 7906
155 1782 575 10741
156 1786 557 6205
157 2469 615 9680
158 1551 539 6590
159 1686 598 9621
160 1537 589 6360
161 1770 562 11126
162 1989 570 6662
163 1530 607 6657
164 1506 486 5291
165 1509 483 5217
166 1819 541 5783
167 2135 546 7090
168 1595 532 5206
169 1842 552 6501
170 1851 559 8579
171 1741 499 5882
172 1900 586 6711
173 1586 467 5590
174 1880 636 10037
175 1882 541 6202
176 1696 503 6425
177 1951 547 7481
178 1698 557 7309
179 1711 512 5866
180 2264 576 7298
181 2197 584 8029
182 1548 485 5286
183 1751 514 5691
184 2015 560 6505
185 2069 572 10274
186 2044 579 11603
187 2168 583 7100
188 2053 515 9085
189 1799 499 6169
190 1552 514 7146
191 1691 546 5826
192 1802 534 6242
193 1704 537 6133
194 1935 533 7684
195 1797 570 6523
196 1923 530 6063
197 1541 506 5332
198 1506 479 5177
199 2041 578 8034
200 1517 457 5748
201 1872 604 8261
202 1618 506 5550
203 1444 451 4780
204 1866 594 6048
205 2139 562 6681
206 2015 557 6369
207 1509 554 6737
208 1589 460 5375
209 1675 482 5550
210 1896 559 6513
211 1976 657 15842
212 1526 433 9613
213 1779 580 6177
214 1610 463 5165
215 1816 569 6021
216 1628 478 5756
217 1683 523 6344
218 1778 509 6261
219 1646 516 5847
220 1679 495 6796
221 1606 506 7097
222 1875 547 6413
223 1542 476 5929
224 1736 589 6337
225 1702 536 6448
226 1860 549 6317
227 1745 476 5823
228 1610 577 6369
229 1776 509 9170
230 1889 627 8949
231 1679 457 5933
232 1574 572 6264
233 1722 514 5700
234 1765 530 5706
235 1658 460 5320
236 1750 502 5622
237 1868 514 6274
238 1673 457 5419
239 1929 487 6267
240 1769 530 7256
241 1486 512 6197
242 1697 430 5319
243 1572 534 5261
244 1497 534 5303
245 1761 533 5841
246 1647 484 5393
247 1583 504 5677
248 1571 426 5168
249 1601 529 5673
250 1898 593 6740
251 1699 517 5745
252 2046 656 9068
253 1745 443 5668
254 1818 514 7051
255 1492 492 5120
256 1772 499 5548
257 1650 519 5500
258 1839 560 6080
259 1690 557 6092
260 1704 522 5868
261 1736 570 7647
262 1798 570 6151
263 1610 527 5402
264 1714 496 5551
265 1527 424 4834
266 1487 478 4766
267 1771 532 5556
268 2052 535 6643
269 1843 515 6031
270 1635 467 5652
271 2051 559 10389
272 1519 448 9729
273 1828 557 8720
274 1999 491 6492
275 1559 522 9279
276 1890 563 6538
277 1534 542 5666
278 1677 510 8107
279 1852 576 8377
280 1634 526 5682
281 1507 474 5799
282 2158 539 6745
283 1813 537 6093
284 1826 511 5880
285 1668 556 5645
286 1659 491 5392
287 1701 564 5998
288 1520 491 6110
289 1956 547 6476
290 2207 592 6960
291 1586 546 7472
292 1560 505 5449
293 2236 579 6951
294 2409 634 7763
295 1930 589 6132
296 1549 519 5353
297 1796 586 7407
298 1912 560 7116
299 1674 554 7615
300 2205 551 6923
301 1969 554 6312
302 1626 422 5315
303 1634 516 6864
304 1628 480 9865
305 1613 472 6150
306 1590 479 5525
307 1667 573 5850
308 1905 572 7946
309 2268 609 7218
310 1691 521 5579
311 1774 573 6982
312 1806 507 6400
313 1608 586 5943
314 1710 583 7968
315 2189 637 6961
316 1551 527 5546
317 1590 495 5645
318 1644 486 5594
319 2166 628 7607
320 1742 517 5720
321 1618 516 5545
322 2203 612 7120
323 1720 450 5716
324 1803 541 5949
325 1907 535 6224
326 1866 562 6405
327 2011 558 8563
328 1727 512 5909
329 1616 581 5681
330 1610 546 6467
331 1585 500 5535
332 2105 595 6820
333 1552 563 5495
334 2073 560 6624
335 2039 534 6550
336 1640 494 5533
337 1718 497 5858
338 1580 456 7707
339 1590 543 5619
340 1970 576 6734
341 1587 547 5389
342 1911 465 6014
343 1741 549 6184
344 1601 553 5624
345 1993 590 6636
346 1703 493 5777
347 2017 607 6693
348 1705 534 6316
349 1721 494 5988
350 2142 608 6955
351 1565 575 5391
352 2119 607 10903
353 1632 542 6636
354 1728 496 5566
355 1863 575 6917
356 1742 502 5950
357 1877 476 6128
358 1772 517 5904
359 1757 560 8805
360 1547 491 9952
361 1522 421 4943
362 1578 559 5249
363 1683 536 5393
364 1622 506 5390
365 1632 525 5537
366 1680 521 5793
367 1588 507 5514
368 2027 602 6865
369 2167 560 7268
370 2500 662 10291
371 2186 533 6852
372 1799 548 6968
373 2048 639 7958
374 2416 639 7771
375 1546 431 5106
376 1643 461 5584
377 2114 571 7940
378 2032 581 6523
379 1833 531 6047
380 1860 572 6106
381 2000 543 6328
382 1565 485 5239
383 1670 549 5734
384 1790 570 5854
385 1636 507 6634
386 1777 489 5870
387 1743 558 8485
388 2001 540 6528
389 2301 605 7360
390 1597 559 5406
391 2202 565 6936
392 1491 435 4957
393 1834 581 5947
394 1660 530 5602
395 1813 584 6226
396 2053 607 6851
397 1907 523 6329
398 2000 534 6593
399 1644 490 7731
400 2142 582 7082
401 2043 555 6602
402 1731 518 5813
403 2090 585 9651
404 1677 543 5880
405 1558 546 5657
406 1584 492 5540
407 1564 446 5345
408 1549 515 5428
409 1724 601 6007
410 1765 471 5621
411 1684 502 5399
412 2159 592 9570
413 1824 558 5922
414 2063 592 7029
415 1652 528 9538
416 1747 587 7192
417 2260 606 12727
418 1608 576 5590
419 2339 580 7264
420 1479 456 4772
421 1808 566 5741
422 1788 493 5913
423 1686 510 5811
424 1995 550 6316
425 1640 513 5603
426 1554 433 5245
427 1547 466 5283
428 1655 504 5456
429 1802 561 6223
430 1939 603 8877
431 1735 538 6782
432 1582 553 5949
433 2055 572 6581
434 1730 540 6031
435 1778 525 5952
436 1575 505 5517
437 1591 517 5480
438 2106 584 6890
439 1510 514 5117
440 1967 518 6102
441 1497 532 6972
442 2491 674 7838
443 1631 508 5393
444 1619 516 5641
445 1754 580 5924
446 2053 550 6718
447 1663 550 5822
448 1771 527 5850
449 1668 481 5602
450 1688 467 5402
451 1960 576 8337
452 1765 485 5584
453 1699 553 5679
454 1644 532 5471
455 1760 527 5920
456 2101 546 6816
457 2019 591 8066
458 1669 590 5944
459 1760 532 5899
460 1591 513 5276
461 1691 531 5568
462 2016 585 6410
463 1649 521 5549
464 1800 504 5844
465 1998 553 6628
466 1818 574 8262
467 1705 548 6103
468 1818 563 6379
469 1778 507 5763
470 1741 484 6030
471 1532 536 5179
472 1659 505 5591
473 1490 511 4891
474 1649 544 6069
475 1762 544 5814
476 1579 497 5384
477 1654 498 5478
478 1825 590 8127
479 1845 569 6068
480 1623 503 5398
481 1642 528 5529
482 1680 530 5341
483 1652 573 5638
484 1518 490 5720
485 1712 492 5613
486 1628 480 8516
487 1734 557 5972
488 1703 522 5698
489 2020 565 6739
490 1657 532 5677
491 1584 526 5502
492 1537 436 4855
493 1577 505 6276
494 1785 506 5718
495 1777 518 5717
496 1493 451 4816
497 2176 631 7279
498 1701 561 5946
499 1689 503 5878
500 1610 522 5566
501 1760 502 5788
502 1953 563 6332
503 1483 462 5029
504 1547 480 5085
505 1653 519 5614
506 1490 457 5030
507 1698 538 5577
508 1674 478 5506
509 1945 602 6602
510 1606 529 5826
511 1573 487 5373
512 1743 458 5484
513 1533 477 10931
514 1553 517 9728
515 2009 585 7399
516 2258 569 7283
517 1586 530 5476
518 2031 609 7303
519 2291 619 7553
520 1665 554 5769
521 1701 537 6199
522 1913 501 6374
523 1623 507 5307
524 1824 492 5950
525 1737 476 5810
526 1833 609 6212
527 1705 510 5634
528 1710 573 5897
529 1708 499 5547
530 1999 496 6220
531 2375 637 7622
532 1977 549 9979
533 2688 682 8806
534 1592 546 5563
535 1631 542 5537
536 1521 455 5053
537 1692 535 5853
538 1640 494 5473
539 1745 546 5983
540 1624 525 5759
541 1618 475 5604
542 2087 519 6842
543 1707 524 5644
544 1831 473 5664
545 1619 466 5280
546 2136 596 6753
547 1550 490 5155
548 2034 576 6814
549 1689 509 5694
550 1449 516 5310
551 1623 531 5775
552 1798 534 6001
553 1594 494 5499
554 1827 522 6156
555 1544 520 5047
556 1778 500 5606
557 1563 480 5112
558 1930 577 6271
559 2496 587 7865
560 1729 538 5937
561 1821 601 6406
562 1732 579 6026
563 1625 535 5810
564 1558 466 5220
565 1618 520 5389
566 2211 598 6943
567 1561 502 5312
568 1561 433 4934
569 1759 541 5730
570 1644 572 5709
571 1610 454 5482
572 1774 507 6090
573 1672 540 5677
574 1969 531 11638
575 1665 552 5824
576 1956 539 6435
577 1734 584 5886
578 1646 533 5464
579 1640 517 5470
580 1650 443 5344
581 1700 472 5737
582 2195 650 7459
583 1965 523 6402
584 1508 484 5559
